year,state,rate,state_abbr,data_value
2018,NH,40.9,NA,NA
2018,NJ,28,NA,NA
2018,NM,43,NA,NA
2018,NY,28.5,NA,NA
2018,NC,42.6,NA,NA
2018,ND,34.9,NA,NA
2018,OH,49,NA,NA
2018,OK,63.5,NA,NA
2018,OR,35.6,NA,NA
2018,PA,35.1,NA,NA
2018,RI,31.2,NA,NA
2018,SC,45.8,NA,NA
2018,SD,43.7,NA,NA
2018,TN,55.9,NA,NA
2018,TX,39.7,NA,NA
2018,UT,33.2,NA,NA
2018,VT,39.6,NA,NA
2018,VA,34.7,NA,NA
2018,WA,34.5,NA,NA
2018,WV,64.3,NA,NA
2018,WI,37.8,NA,NA
2018,WY,58.7,NA,NA
2017,AL,57.8,NA,NA
2017,AK,35.9,NA,NA
2017,AZ,42.7,NA,NA
2017,AR,66.7,NA,NA
2017,CA,32.2,NA,NA
2017,CO,45.6,NA,NA
2017,CT,30.4,NA,NA
2017,DE,40.7,NA,NA
2017,FL,39,NA,NA
2017,GA,46.2,NA,NA
2017,HI,19,NA,NA
2017,ID,47.2,NA,NA
2017,IL,37.6,NA,NA
2017,IN,55.2,NA,NA
2017,IA,46.5,NA,NA
2017,KS,51.7,NA,NA
2017,KY,64.5,NA,NA
2017,LA,46.6,NA,NA
2017,ME,48.7,NA,NA
2017,MD,29.9,NA,NA
2017,MA,32.4,NA,NA
2017,MI,44.3,NA,NA
2017,MN,36.3,NA,NA
2017,MS,58.3,NA,NA
2017,MO,50.7,NA,NA
2017,MT,53.5,NA,NA
2017,NE,52.6,NA,NA
2017,NV,50,NA,NA
2017,NH,43,NA,NA
2017,NJ,28.6,NA,NA
2017,NM,44.2,NA,NA
2017,NY,28.9,NA,NA
2017,NC,45.3,NA,NA
2017,ND,38.3,NA,NA
2017,OH,48.5,NA,NA
2017,OK,65.8,NA,NA
2017,OR,39.7,NA,NA
2017,PA,37.1,NA,NA
2017,RI,36.2,NA,NA
2017,SC,47.9,NA,NA
2017,SD,45.3,NA,NA
2017,TN,57.4,NA,NA
2017,TX,40.5,NA,NA
2017,UT,32.1,NA,NA
2017,VT,43,NA,NA
2017,VA,34.9,NA,NA
2017,WA,38,NA,NA
2017,WV,64.3,NA,NA
2017,WI,38.3,NA,NA
2017,WY,53.8,NA,NA
2016,AL,56.2,NA,NA
2016,AK,41.5,NA,NA
2016,AZ,43.5,NA,NA
2016,AR,59.1,NA,NA
2016,CA,32.6,NA,NA
2016,CO,46.4,NA,NA
2016,CT,30.5,NA,NA
2016,DE,43.7,NA,NA
2016,FL,38,NA,NA
2016,GA,47.3,NA,NA
2016,HI,17.7,NA,NA
2016,ID,45.7,NA,NA
2016,IL,38.1,NA,NA
2016,IN,54.6,NA,NA
2016,IA,48.6,NA,NA
2016,KS,48.3,NA,NA
2016,KY,66.3,NA,NA
2016,LA,43,NA,NA
2016,ME,47.4,NA,NA
2016,MD,30.5,NA,NA
2016,MA,31.4,NA,NA
2016,MI,44.4,NA,NA
2016,MN,35.8,NA,NA
2016,MS,62,NA,NA
2016,MO,52.1,NA,NA
2016,MT,51.9,NA,NA
2016,NE,48.9,NA,NA
2016,NV,56.6,NA,NA
2016,NH,39.3,NA,NA
2016,NJ,27.9,NA,NA
2016,NM,44.4,NA,NA
2016,NY,28.4,NA,NA
2016,NC,44.8,NA,NA
2016,ND,34.7,NA,NA
2016,OH,47.5,NA,NA
2016,OK,61.4,NA,NA
2016,OR,40.4,NA,NA
2016,PA,36.8,NA,NA
2016,RI,31.3,NA,NA
2016,SC,47.5,NA,NA
2016,SD,38.3,NA,NA
2016,TN,54.7,NA,NA
2016,TX,39.5,NA,NA
2016,UT,35.8,NA,NA
2016,VT,41.3,NA,NA
2016,VA,34.6,NA,NA
2016,WA,37.3,NA,NA
2016,WV,62.1,NA,NA
2016,WI,38.3,NA,NA
2016,WY,48.9,NA,NA
2015,AL,56.4,NA,NA
2015,AK,37.8,NA,NA
2015,AZ,43.8,NA,NA
2015,AR,62.4,NA,NA
2015,CA,33.1,NA,NA
2015,CO,47.8,NA,NA
2015,CT,29.7,NA,NA
2015,DE,42.5,NA,NA
2015,FL,38.4,NA,NA
2015,GA,46.7,NA,NA
2015,HI,17.3,NA,NA
2015,ID,46.3,NA,NA
2015,IL,38.2,NA,NA
2015,IN,55.4,NA,NA
2015,IA,49.1,NA,NA
2015,KS,49.7,NA,NA
2015,KY,64.3,NA,NA
2015,LA,43.2,NA,NA
2015,ME,53.6,NA,NA
2015,MD,30.7,NA,NA
2015,MA,33,NA,NA
2015,MI,47.5,NA,NA
2015,MN,36.4,NA,NA
2015,MS,57.1,NA,NA
2015,MO,52.8,NA,NA
2015,MT,50.2,NA,NA
2015,NE,52.2,NA,NA
2015,NV,54.1,NA,NA
2015,NH,41.9,NA,NA
2015,NJ,29.6,NA,NA
2015,NM,44.7,NA,NA
2015,NY,29.9,NA,NA
2015,NC,45.5,NA,NA
2015,ND,40,NA,NA
2015,OH,49.6,NA,NA
2015,OK,65.8,NA,NA
2015,OR,42.4,NA,NA
2015,PA,38.1,NA,NA
2015,RI,36.9,NA,NA
2015,SC,49.9,NA,NA
2015,SD,45.3,NA,NA
2015,TN,54.9,NA,NA
2015,TX,41.3,NA,NA
2015,UT,33.9,NA,NA
2015,VT,42.3,NA,NA
2015,VA,37.1,NA,NA
2015,WA,39.7,NA,NA
2015,WV,64.6,NA,NA
2015,WI,39.3,NA,NA
2015,WY,57.1,NA,NA
2014,AL,53.6,NA,NA
2014,AK,38.8,NA,NA
2014,AZ,42.2,NA,NA
2014,AR,58.9,NA,NA
2014,CA,32,NA,NA
2014,CO,47.2,NA,NA
2014,CT,30.2,NA,NA
2014,DE,40.2,NA,NA
2014,FL,38,NA,NA
2014,GA,45.6,NA,NA
2014,HI,17.1,NA,NA
2014,ID,45.8,NA,NA
2014,IL,39.2,NA,NA
2014,IN,54,NA,NA
2014,IA,47.7,NA,NA
2014,KS,49.2,NA,NA
2014,KY,63.8,NA,NA
2014,LA,45.5,NA,NA
2014,ME,48.1,NA,NA
2014,MD,29.4,NA,NA
2014,MA,31.4,NA,NA
2014,MI,44.2,NA,NA
2014,MN,36,NA,NA
2014,MS,52.2,NA,NA
2014,MO,51.4,NA,NA
2014,MT,50.3,NA,NA
2014,NE,50.6,NA,NA
2014,NV,52.9,NA,NA
2014,NH,41.3,NA,NA
2014,NJ,28.5,NA,NA
2014,NM,46.4,NA,NA
2014,NY,29.1,NA,NA
2014,NC,45.1,NA,NA
2014,ND,36.1,NA,NA
2014,OH,47.2,NA,NA
2014,OK,63.3,NA,NA
2014,OR,40.1,NA,NA
2014,PA,37,NA,NA
2014,RI,36,NA,NA
2014,SC,48.2,NA,NA
2014,SD,40.8,NA,NA
2014,TN,52.5,NA,NA
2014,TX,40.5,NA,NA
2014,UT,32.6,NA,NA
2014,VT,41.2,NA,NA
2014,VA,35.3,NA,NA
2014,WA,37.9,NA,NA
2014,WV,63,NA,NA
2014,WI,39.3,NA,NA
2014,WY,55,NA,NA
